Name,Beer_ID,ABV,IBU,Brewery_id,Style,Ounces,Type
Pub Beer,1436,0.05,,409,American Pale Lager,12,Lager
Devil's Cup,2265,0.066,,178,American Pale Ale (APA),12,APA
Rise of the Phoenix,2264,0.071,,178,American IPA,12,IPA
Sinister,2263,0.09,,178,American Double / Imperial IPA,12,IPA
Sex and Candy,2262,0.075,,178,American IPA,12,IPA
Black Exodus,2261,0.077,,178,Oatmeal Stout,12,Other
Lake Street Express,2260,0.045,,178,American Pale Ale (APA),12,APA
Foreman,2259,0.065,,178,American Porter,12,Other
Jade,2258,0.055,,178,American Pale Ale (APA),12,APA
Cone Crusher,2131,0.086,,178,American Double / Imperial IPA,12,IPA
Sophomoric Saison,2099,0.072,,178,Saison / Farmhouse Ale,12,Other Ale
Regional Ring Of Fire,2098,0.073,,178,Saison / Farmhouse Ale,12,Other Ale
Garce Selé,2097,0.069,,178,Saison / Farmhouse Ale,12,Other Ale
Troll Destroyer,1980,0.085,,178,Belgian IPA,12,IPA
Bitter Bitch,1979,0.061,60,178,American Pale Ale (APA),12,APA
Ginja Ninja,2318,0.06,,155,Cider,12,Other
Cherried Away,2170,0.06,,155,Cider,12,Other
Rhubarbarian,2169,0.06,,155,Cider,12,Other
BrightCider,1502,0.06,,155,Cider,12,Other
He Said Baltic-Style Porter,1593,0.082,,369,Baltic Porter,12,Other
He Said Belgian-Style Tripel,1592,0.082,,369,Tripel,12,Other
Lower De Boom,1036,0.099,92,369,American Barleywine,8.4,Other
Fireside Chat,1024,0.079,45,369,Winter Warmer,12,Other
Marooned On Hog Island,976,0.079,,369,American Stout,12,Other
Bitter American,876,0.044,42,369,American Pale Ale (APA),12,APA
Hell or High Watermelon Wheat (2009),802,0.049,17,369,Fruit / Vegetable Beer,12,Other
Hell or High Watermelon Wheat (2009),801,0.049,17,369,Fruit / Vegetable Beer,12,Other
21st Amendment Watermelon Wheat Beer (2006),800,0.049,17,369,Fruit / Vegetable Beer,12,Other
21st Amendment IPA (2006),799,0.07,70,369,American IPA,12,IPA
Brew Free! or Die IPA (2008),797,0.07,70,369,American IPA,12,IPA
Brew Free! or Die IPA (2009),796,0.07,70,369,American IPA,12,IPA
Special Edition: Allies Win The War!,531,0.085,52,369,English Strong Ale,12,Other Ale
Hop Crisis,432,0.097,94,369,American Double / Imperial IPA,12,IPA
Bitter American (2011),353,0.044,42,369,American Pale Ale (APA),12,APA
Fireside Chat (2010),321,0.079,45,369,Winter Warmer,12,Other
Back in Black,173,0.068,65,369,American Black Ale,12,Other Ale
Monk's Blood,11,0.083,35,369,Belgian Dark Ale,12,Other Ale
Brew Free! or Die IPA,10,0.07,65,369,American IPA,12,IPA
Hell or High Watermelon Wheat,9,0.049,17,369,Fruit / Vegetable Beer,12,Other
Bimini Twist,2519,0.07,82,68,American IPA,12,IPA
Beach Blonde,2518,0.05,,68,American Blonde Ale,12,Other Ale
Rod Bender Red,2517,0.059,,68,American Amber / Red Ale,12,Other Ale
Passion Fruit Prussia,2545,0.035,11,61,Berliner Weissbier,12,Other
Send Help,2544,0.045,18,61,American Blonde Ale,12,Other Ale
Cast Iron Oatmeal Brown,2324,0.055,,61,American Brown Ale,12,Other Ale
Reprise Centennial Red,2288,0.06,,61,American Amber / Red Ale,12,Other Ale
Alter Ego,2287,0.055,,61,American Black Ale,12,Other Ale
Divided Sky,2286,0.065,,61,American IPA,12,IPA
Resurrected,2285,0.065,,61,American IPA,12,IPA
Contact High,1870,0.05,28,61,American Pale Wheat Ale,12,Other Ale
Galaxyfest,2603,0.065,,28,American IPA,16,IPA
Citrafest,2602,0.05,45,28,American IPA,16,IPA
Barn Yeti,2220,0.09,,28,Belgian Strong Dark Ale,16,Other Ale
Scarecrow,2219,0.069,65,28,American IPA,16,IPA
Ironman,2218,0.09,50,28,English Strong Ale,16,Other Ale
Honey Kolsch,2217,0.046,15,28,Kölsch,16,Other
Copperhead Amber,2216,0.052,18,28,Belgian Dark Ale,16,Other Ale
Rude Parrot IPA,972,0.059,75,482,American IPA,16,IPA
British Pale Ale (2010),866,0.054,30,482,English Pale Ale,16,Other Ale
British Pale Ale,48,0.054,30,482,English Pale Ale,16,Other Ale
Ballz Deep Double IPA,47,0.084,82,482,American Double / Imperial IPA,16,IPA
Wolfman's Berliner,1583,0.038,,374,Berliner Weissbier,12,Other
Colorado Native,1165,0.055,26,463,American Amber / Red Lager,12,Lager
Colorado Native (2011),431,0.055,26,463,American Amber / Red Lager,12,Lager
Jockamo IPA,516,0.065,52,534,American IPA,12,IPA
Purple Haze,515,0.042,13,534,Fruit / Vegetable Beer,12,Other
Abita Amber,514,0.045,17,534,American Amber / Red Lager,12,Lager
Citra Ass Down,2540,0.082,68,63,American IPA,16,IPA
The Brown Note,2539,0.05,20,63,American Brown Ale,16,Other Ale
Citra Ass Down,2686,0.08,68,2,American Double / Imperial IPA,16,IPA
London Balling,2685,0.125,80,2,English Barleywine,16,Other
35 K,2684,0.077,25,2,Milk / Sweet Stout,16,Other
A Beer,2683,0.042,42,2,American Pale Ale (APA),16,APA
Rules are Rules,2682,0.05,25,2,German Pilsener,16,Other
